name,townHalls/0/date,townHalls/1/date,townHalls/2/date,townHalls/3/date,townHalls/4/date,townHalls/5/date,townHalls/6/date,townHalls/7/date,townHalls/8/date,townHalls/9/date,townHalls/10/date,townHalls/11/date,townHalls/12/date,townHalls/13/date,townHalls/14/date,townHalls/15/date
Mark DeSaulnier,"Wed, Feb 22, 2017","Sat, Feb 18, 2017","Thu, Feb 23, 2017","Wed, Feb 22, 2017","Thu, Feb 23, 2017","Thu, Feb 23, 2017","Thu, Feb 23, 2017",Sat Apr 08 2017,Tue Apr 11 2017,Wed Apr 12 2017,Thu May 11 2017,Tue May 30 2017,Wed Aug 09 2017,,,
Tom McClintock,"Wed, Feb 22, 2017","Tue, Feb 21, 2017","Tue, Feb 21, 2017","Wed, Feb 22, 2017","Tue, Feb 21, 2017","Tue, Feb 21, 2017","Wed, Feb 22, 2017","Wed, Feb 22, 2017","Sat, Mar 4, 2017",Sat Apr 08 2017,Mon Jun 19 2017,,,,,
Mike Thompson,"Sat, February 18, 2017","Sat, Feb 18, 2017","Tue, Feb 21, 2017","Sat, Feb 25, 2017","Tue, Feb 21, 2017","Sat, Feb 25, 2017","Sat, Apr 1, 2017",Thu Apr 20 2017,Tue Apr 18 2017,Wed Apr 19 2017,Wed Apr 19 2017,Mon Jun 19 2017,Tue Aug 08 2017,Tue Aug 01 2017,Wed Aug 02 2017,Wed Aug 02 2017
Judy Chu,"Sat, Feb 18, 2017","Sat, Feb 18, 2017",Thu Apr 20 2017,Sun Apr 23 2017,,,,,,,,,,,,
Lucille Roybal-Allard,"Sat, Feb 18, 2017",,,,,,,,,,,,,,,
Barbara Lee,"Sat, Feb 18, 2017","Mon, Mar 13, 2017",Sun May 21 2017,,,,,,,,,,,,,
Tony Cárdenas,"Tue, Feb 21, 2017","Tue, Feb 21, 2017","Tue, Feb 21, 2017",,,,,,,,,,,,,
Ro Khanna,"Wed, Feb 22, 2017","Wed, Feb 22, 2017","Wed, Feb 22, 2017","Sat, Mar 25, 2017","Sat, Mar 25, 2017",Sun Apr 23 2017,Sun May 07 2017,Sun Jul 30 2017,,,,,,,,
Adam Schiff,"Fri, Feb 24, 2017","Fri, Feb 24, 2017","Fri, Feb 24, 2017","Fri, Feb 24, 2017",,,,,,,,,,,,
Salud Carbajal,"Wed, Feb 22, 2017",Mon Apr 17 2017,,,,,,,,,,,,,,
Nanette Barragan,"Wed, Feb 22, 2017",Wed Apr 19 2017,,,,,,,,,,,,,,
Jackie Speier,"Sat, Feb 25, 2017","Sat, Feb 25, 2017",Sat Jul 15 2017,,,,,,,,,,,,,
Jared Huffman,"Wed, Feb 22, 2017","Thu, Feb 23, 2017","Mon, Mar 6, 2017","Mon, Mar 13, 2017","Sat, Mar 18, 2017",Mon Apr 10 2017,Wed Apr 19 2017,Tue May 09 2017,Mon Jun 19 2017,,,,,,,
Karen Bass,"Mon, Feb 27, 2017",,,,,,,,,,,,,,,
Lou Correa,"Fri, Feb 24, 2017",Wed Apr 19 2017,,,,,,,,,,,,,,
Anna Eshoo,"Sat, Mar 4, 2017","Sat, Mar 4, 2017","Sat, Mar 4, 2017","Sat, Mar 4, 2017","Sat, Mar 4, 2017","Sun, Mar 5, 2017",Sat Apr 01 2017,"Sat, Apr 22, 2017","Sat, Apr 1, 2017",Sat Jun 10 2017,Sat Jul 22 2017,,,,,
Scott Peters,"Mon, Mar 13, 2017","Mon, Mar 13, 2017","Mon, Mar 13, 2017",Tue Mar 14 2017,Tue Apr 18 2017,,,,,,,,,,,
Susan Davis,"Sat, Mar 11, 2017",Mon Jun 19 2017,Mon Jun 19 2017,Sat Jun 24 2017,,,,,,,,,,,,
Steve Knight,"Sat, Mar 4, 2017","Sat, Mar 4, 2017",Tue Apr 18 2017,,,,,,,,,,,,,
Zoe Lofgren,"Sat, Mar 4, 2017","Sun, Mar 12, 2017","Sat, Mar 25, 2017","Sun, Mar 12, 2017",,,,,,,,,,,,
Duncan Hunter,"Sat, Mar 11, 2017",,,,,,,,,,,,,,,
Norma Torres,"Sat, Mar 25, 2017","Sat, Mar 25, 2017",,,,,,,,,,,,,,
Alan Lowenthal,"Mon, Mar 13, 2017","Mon, Mar 13, 2017",,,,,,,,,,,,,,
Doug LaMalfa,"Sat, Mar 18, 2017",Mon Apr 17 2017,Wed Apr 19 2017,Mon Aug 07 2017,,,,,,,,,,,,
Darrell Issa,"Sat, Mar 11, 2017","Sat, Mar 11, 2017",Sat Jun 03 2017,,,,,,,,,,,,,
Nancy Pelosi,Sat Mar 25 2017,,,,,,,,,,,,,,,
Brad Sherman,"Sat, Apr 22, 2017",Sat Apr 22 2017,,,,,,,,,,,,,,
Jimmy Panetta,Sat Apr 01 2017,"Sat, Apr 1, 2017",,,,,,,,,,,,,,
Jerry McNerney,Sat Apr 08 2017,,,,,,,,,,,,,,,
Linda Sanchez,Tue Apr 11 2017,,,,,,,,,,,,,,,
Grace Napolitano,Fri Apr 14 2017,,,,,,,,,,,,,,,
Jeff Denham,Mon Apr 17 2017,Tue May 09 2017,,,,,,,,,,,,,,
John Garamendi,Wed Apr 19 2017,Thu Apr 20 2017,Thu Apr 20 2017,Wed Apr 19 2017,Tue May 09 2017,Tue May 09 2017,Tue May 09 2017,Fri Jul 21 2017,,,,,,,,
Pete Aguilar,Tue Apr 18 2017,,,,,,,,,,,,,,,
Eric Swalwell,Sat Apr 22 2017,Sat Aug 05 2017,Sat Aug 05 2017,,,,,,,,,,,,,
Dianne Feinstein,Mon Apr 17 2017,Thu Apr 20 2017,Mon Apr 17 2017,,,,,,,,,,,,,
Kamala Harris,Fri Apr 21 2017,,,,,,,,,,,,,,,
Ted Lieu,Thu Apr 20 2017,Mon Apr 24 2017,,,,,,,,,,,,,,
Julia Brownley,Wed Apr 19 2017,,,,,,,,,,,,,,,
Nanette Barragán,Mon May 15 2017,,,,,,,,,,,,,,,
Ami Bera,Thu Jun 01 2017,,,,,,,,,,,,,,,
Stephen Knight,Thu Jun 01 2017,,,,,,,,,,,,,,,
Juan Vargas,Mon Jul 10 2017,,,,,,,,,,,,,,,
Raul Ruiz,Mon Jul 10 2017,,,,,,,,,,,,,,,
Doris Matsui,Sat Aug 05 2017,,,,,,,,,,,,,,,
